#gene_id	path_id	pathway
hsa:10327	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:124	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:125	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:126	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:127	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:128	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:130	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:130589	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:131	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:160287	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:1737	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:1738	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2023	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2026	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2027	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:217	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:218	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:219	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:220	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2203	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:221	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:222	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:223	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:224	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:226	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:229	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:230	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2538	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2597	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:26330	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2645	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:2821	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:3098	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:3099	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:3101	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:3939	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:3945	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:3948	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:441531	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:501	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5105	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5106	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5160	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5161	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5162	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5211	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5213	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5214	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5223	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5224	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5230	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5232	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5236	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5313	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:5315	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:55276	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:55902	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:57818	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:669	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:7167	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:80201	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:83440	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:84532	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:8789	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:92483	path:hsa00010	Glycolysis / Gluconeogenesis
hsa:1431	path:hsa00020	Citrate cycle (TCA cycle)
hsa:1737	path:hsa00020	Citrate cycle (TCA cycle)
hsa:1738	path:hsa00020	Citrate cycle (TCA cycle)
hsa:1743	path:hsa00020	Citrate cycle (TCA cycle)
hsa:2271	path:hsa00020	Citrate cycle (TCA cycle)
hsa:3417	path:hsa00020	Citrate cycle (TCA cycle)
hsa:3418	path:hsa00020	Citrate cycle (TCA cycle)
hsa:3419	path:hsa00020	Citrate cycle (TCA cycle)
hsa:3420	path:hsa00020	Citrate cycle (TCA cycle)
hsa:3421	path:hsa00020	Citrate cycle (TCA cycle)
hsa:4190	path:hsa00020	Citrate cycle (TCA cycle)
hsa:4191	path:hsa00020	Citrate cycle (TCA cycle)
hsa:47	path:hsa00020	Citrate cycle (TCA cycle)
hsa:48	path:hsa00020	Citrate cycle (TCA cycle)
hsa:4967	path:hsa00020	Citrate cycle (TCA cycle)
hsa:50	path:hsa00020	Citrate cycle (TCA cycle)
hsa:5091	path:hsa00020	Citrate cycle (TCA cycle)
hsa:5105	path:hsa00020	Citrate cycle (TCA cycle)
hsa:5106	path:hsa00020	Citrate cycle (TCA cycle)
hsa:5160	path:hsa00020	Citrate cycle (TCA cycle)
hsa:5161	path:hsa00020	Citrate cycle (TCA cycle)
hsa:5162	path:hsa00020	Citrate cycle (TCA cycle)
hsa:55753	path:hsa00020	Citrate cycle (TCA cycle)
hsa:6389	path:hsa00020	Citrate cycle (TCA cycle)
hsa:6390	path:hsa00020	Citrate cycle (TCA cycle)
hsa:6391	path:hsa00020	Citrate cycle (TCA cycle)
hsa:6392	path:hsa00020	Citrate cycle (TCA cycle)
hsa:8801	path:hsa00020	Citrate cycle (TCA cycle)
hsa:8802	path:hsa00020	Citrate cycle (TCA cycle)
hsa:8803	path:hsa00020	Citrate cycle (TCA cycle)
hsa:2203	path:hsa00030	Pentose phosphate pathway
hsa:221823	path:hsa00030	Pentose phosphate pathway
hsa:226	path:hsa00030	Pentose phosphate pathway
hsa:229	path:hsa00030	Pentose phosphate pathway
hsa:22934	path:hsa00030	Pentose phosphate pathway
hsa:230	path:hsa00030	Pentose phosphate pathway
hsa:2539	path:hsa00030	Pentose phosphate pathway
hsa:25796	path:hsa00030	Pentose phosphate pathway
hsa:2821	path:hsa00030	Pentose phosphate pathway
hsa:51071	path:hsa00030	Pentose phosphate pathway
hsa:5211	path:hsa00030	Pentose phosphate pathway
hsa:5213	path:hsa00030	Pentose phosphate pathway
hsa:5214	path:hsa00030	Pentose phosphate pathway
hsa:5226	path:hsa00030	Pentose phosphate pathway
hsa:5236	path:hsa00030	Pentose phosphate pathway
hsa:55276	path:hsa00030	Pentose phosphate pathway
hsa:5631	path:hsa00030	Pentose phosphate pathway
hsa:5634	path:hsa00030	Pentose phosphate pathway
hsa:6120	path:hsa00030	Pentose phosphate pathway
hsa:64080	path:hsa00030	Pentose phosphate pathway
hsa:6888	path:hsa00030	Pentose phosphate pathway
hsa:7086	path:hsa00030	Pentose phosphate pathway
hsa:729020	path:hsa00030	Pentose phosphate pathway
hsa:8277	path:hsa00030	Pentose phosphate pathway
hsa:84076	path:hsa00030	Pentose phosphate pathway
hsa:8789	path:hsa00030	Pentose phosphate pathway
hsa:9104	path:hsa00030	Pentose phosphate pathway
hsa:9563	path:hsa00030	Pentose phosphate pathway
hsa:10720	path:hsa00040	Pentose and glucuronate interconversions
hsa:10941	path:hsa00040	Pentose and glucuronate interconversions
hsa:217	path:hsa00040	Pentose and glucuronate interconversions
hsa:219	path:hsa00040	Pentose and glucuronate interconversions
